CountryName,CapitalName,A,B,longitude,latitude,ContinentName,
Israel,Jerusalem,,,35.233333,31.7666666666667,Asia,
Italy,Rome,,,12.483333,41.9,Europe,
Jamaica,Kingston,,,-76.8,18,North America,
Japan,Tokyo,,,139.75,35.6833333333333,Asia,
Jersey,Saint Helier,,,-2.1,49.1833333333333,Europe,
Jordan,Amman,,,35.933333,31.95,Asia,
Kazakhstan,Astana,,,71.416667,51.1666666666667,Asia,
Kenya,Nairobi,,,36.816667,-1.28333333333333,Africa,
Kiribati,Tarawa,,,169.533333,-0.883333333333333,Australia,
North Korea,Pyongyang,,,125.75,39.0166666666667,Asia,
South Korea,Seoul,,,126.983333,37.55,Asia,
Kosovo,Pristina,,,21.166667,42.6666666666667,Europe,
Kuwait,Kuwait City,,,47.966667,29.3666666666667,Asia,
Kyrgyzstan,Bishkek,,,74.6,42.8666666666667,Asia,
Laos,Vientiane,,,102.6,17.9666666666667,Asia,
Latvia,Riga,,,24.1,56.95,Europe,
Lebanon,Beirut,,,35.5,33.8666666666667,Asia,
Lesotho,Maseru,,,27.483333,-29.3166666666667,Africa,
Liberia,Monrovia,,,-10.8,6.3,Africa,
Libya,Tripoli,,,13.166667,32.8833333333333,Africa,
Liechtenstein,Vaduz,,,9.516667,47.1333333333333,Europe,
Lithuania,Vilnius,,,25.316667,54.6833333333333,Europe,
Luxembourg,Luxembourg,,,6.116667,49.6,Europe,
Macedonia,Skopje,,,21.433333,42,Europe,
Madagascar,Antananarivo,,,47.516667,-18.9166666666667,Africa,
Malawi,Lilongwe,,,33.783333,-13.9666666666667,Africa,
Malaysia,Kuala Lumpur,,,101.7,3.16666666666667,Asia,
Maldives,Male,,,73.5,4.16666666666667,Asia,
Mali,Bamako,,,-8,12.65,Africa,
Malta,Valletta,,,14.5,35.8833333333333,Europe,
Marshall Islands,Majuro,,,171.383333,7.1,Australia,
Mauritania,Nouakchott,,,-15.966667,18.0666666666667,Africa,
Mauritius,Port Louis,,,57.483333,-20.15,Africa,
Mexico,Mexico City,,,-99.133333,19.4333333333333,Central America,
Federated States of Micronesia,Palikir,,,158.15,6.91666666666667,Australia,
Moldova,Chisinau,,,28.85,47,Europe,
Monaco,Monaco,,,7.416667,43.7333333333333,Europe,
Mongolia,Ulaanbaatar,,,106.916667,47.9166666666667,Asia,
Montenegro,Podgorica,,,19.266667,42.4333333333333,Europe,
Montserrat,Plymouth,,,-62.216667,16.7,North America,
Morocco,Rabat,,,-6.816667,34.0166666666667,Africa,
Mozambique,Maputo,,,32.583333,-25.95,Africa,
Namibia,Windhoek,,,17.083333,-22.5666666666667,Africa,
Nepal,Kathmandu,,,85.316667,27.7166666666667,Asia,
Netherlands,Amsterdam,,,4.916667,52.35,Europe,
New Caledonia,Noumea,,,166.45,-22.2666666666667,Australia,
New Zealand,Wellington,,,174.783333,-41.3,Australia,
Nicaragua,Managua,,,-86.25,12.1333333333333,Central America,
Niger,Niamey,,,2.116667,13.5166666666667,Africa,
Nigeria,Abuja,,,7.533333,9.08333333333333,Africa,
Niue,Alofi,,,-169.916667,-19.0166666666667,Australia,
Norfolk Island,Kingston,,,167.966667,-29.05,Australia,
Northern Mariana Islands,Saipan,,,145.75,15.2,Australia,
Norway,Oslo,,,10.75,59.9166666666667,Europe,
Oman,Muscat,,,58.583333,23.6166666666667,Asia,
Pakistan,Islamabad,,,73.05,33.6833333333333,Asia,
Palau,Melekeok,,,134.633333,7.48333333333333,Australia,
Panama,Panama City,,,-79.533333,8.96666666666667,Central America,
Papua New Guinea,Port Moresby,,,147.183333,-9.45,Australia,
Paraguay,Asuncion,,,-57.666667,-25.2666666666667,South America,
Peru,Lima,,,-77.05,-12.05,South America,
Philippines,Manila,,,120.966667,14.6,Asia,
Pitcairn Islands,Adamstown,,,-130.083333,-25.0666666666667,Australia,
Poland,Warsaw,,,21,52.25,Europe,
Portugal,Lisbon,,,-9.133333,38.7166666666667,Europe,
Puerto Rico,San Juan,,,-66.116667,18.4666666666667,North America,
Qatar,Doha,,,51.533333,25.2833333333333,Asia,
Romania,Bucharest,,,26.1,44.4333333333333,Europe,
Russia,Moscow,,,37.6,55.75,Europe,
Rwanda,Kigali,,,30.05,-1.95,Africa,
Saint Barthelemy,Gustavia,,,-62.85,17.8833333333333,North America,
Saint Helena,Jamestown,,,-5.716667,-15.9333333333333,Africa,
Saint Kitts and Nevis,Basseterre,,,-62.716667,17.3,North America,
Saint Lucia,Castries,,,-61,14,North America,
Saint Pierre and Miquelon,Saint-Pierre,,,-56.183333,46.7666666666667,Central America,
Saint Vincent and the Grenadines,Kingstown,,,-61.216667,13.1333333333333,Central America,
Samoa,Apia,,,-171.766667,-13.8166666666667,Australia,
San Marino,San Marino,,,12.416667,43.9333333333333,Europe,
Sao Tome and Principe,Sao Tome,,,6.733333,0.333333333333333,Africa,
Saudi Arabia,Riyadh,,,46.7,24.65,Asia,
Senegal,Dakar,,,-17.633333,14.7333333333333,Africa,
Serbia,Belgrade,,,20.5,44.8333333333333,Europe,
Seychelles,Victoria,,,55.45,-4.61666666666667,Africa,
Sierra Leone,Freetown,,,-13.233333,8.48333333333333,Africa,
Singapore,Singapore,,,103.85,1.28333333333333,Asia,
Sint Maarten,Philipsburg,,,-63.033333,18.0166666666667,North America,
Slovakia,Bratislava,,,17.116667,48.15,Europe,
Slovenia,Ljubljana,,,14.516667,46.05,Europe,
Solomon Islands,Honiara,,,159.95,-9.43333333333333,Australia,
Somalia,Mogadishu,,,45.333333,2.06666666666667,Africa,
South Africa,Pretoria,,,28.216667,-25.7,Africa,
South Sudan,Juba,,,31.616667,4.85,Africa,
Spain,Madrid,,,-3.683333,40.4,Europe,
Sri Lanka,Colombo,,,79.833333,6.91666666666667,Asia,
Sudan,Khartoum,,,32.533333,15.6,Africa,
Suriname,Paramaribo,,,-55.166667,5.83333333333333,South America,
Svalbard,Longyearbyen,,,15.633333,78.2166666666667,Europe,
Swaziland,Mbabane,,,31.133333,-26.3166666666667,Africa,
Sweden,Stockholm,,,18.05,59.3333333333333,Europe,
Switzerland,Bern,,,7.466667,46.9166666666667,Europe,
Syria,Damascus,,,36.3,33.5,Asia,
Taiwan,Taipei,,,121.516667,25.0333333333333,Asia,
Tajikistan,Dushanbe,,,68.766667,38.55,Asia,
Tanzania,Dar es Salaam,,,39.283333,-6.8,Africa,
Thailand,Bangkok,,,100.516667,13.75,Asia,
Timor-Leste,Dili,,,125.6,-8.58333333333333,Asia,
Togo,Lome,,,1.216667,6.11666666666667,Africa,
Tonga,Nuku'alofa,,,-175.2,-21.1333333333333,Australia,
Trinidad and Tobago,Port of Spain,,,-61.516667,10.65,North America,
Tunisia,Tunis,,,10.183333,36.8,Africa,
Turkey,Ankara,,,32.866667,39.9333333333333,Europe,
Turkmenistan,Ashgabat,,,58.383333,37.95,Asia,
Turks and Caicos Islands,Grand Turk,,,-71.133333,21.4666666666667,North America,
Tuvalu,Funafuti,,,179.216667,-8.51666666666667,Australia,
Uganda,Kampala,,,32.55,0.316666666666667,Africa,
Ukraine,Kyiv,,,30.516667,50.4333333333333,Europe,
United Arab Emirates,Abu Dhabi,,,54.366667,24.4666666666667,Asia,
United Kingdom,London,,,-0.083333,51.5,Europe,
United States,Washington,,,38.883333,-77.0369,US,Central America
Uruguay,Montevideo,,,-56.166667,-34.85,South America,
Uzbekistan,Tashkent,,,69.25,41.3166666666667,Asia,
Vanuatu,Port-Vila,,,168.316667,-17.7333333333333,Australia,
Venezuela,Caracas,,,-66.866667,10.4833333333333,South America,
Vietnam,Hanoi,,,105.85,21.0333333333333,Asia,
US Virgin Islands,Charlotte Amalie,,,-64.933333,18.35,North America,
Wallis and Futuna,Mata-Utu,,,-171.933333,-13.95,Australia,
Yemen,Sanaa,,,44.2,15.35,Asia,
Zambia,Lusaka,,,28.283333,-15.4166666666667,Africa,
Zimbabwe,Harare,,,31.033333,-17.8166666666667,Africa,
US Minor Outlying Islands,Washington,,,38.883333,-77.0369,UM,Australia
Antarctica,N/A,,,0,0,Antarctica,
Northern Cyprus,North Nicosia,,,33.366667,35.183333,Europe,
Hong Kong,N/A,,,0,0,Asia,
Heard Island and McDonald Islands,N/A,,,0,0,Antarctica,
British Indian Ocean Territory,Diego Garcia,,,72.4,-7.3,Africa,
Macau,N/A,,,0,0,Asia,
